constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Aberafan Maesteg,20.93133827436722,0,61.44487994,23.70670205706702,42.0,672.9,3.9,3.3811771,372.567563238945,3.104560700000003,32.41395123414253
Aberdeen North,8.982064378192185,1,43.94618468,31.8652071259927,39.0,740.3,4.0,19.1740887,1095.146635919573,12.390795500000095,17.02815770163101
Aberdeen South,6.902578487431223,1,34.23110343,44.17318389025972,37.0,801.8,2.9000000000000004,22.9605917,1160.0911293955587,14.4832901,12.84540967748369
Aberdeenshire North and Moray East,14.564784749135857,1,54.44720885,20.875503889347748,46.0,687.4,2.7,7.2325461,72.27964557160736,1.8528957000000013,17.124976698196903
Airdrie and Shotts,8.102874597719959,1,39.38743527,21.26198480072203,42.0,761.5,3.3000000000000003,4.513913,392.7656244579761,3.3791456,27.06766671274423
Aldershot,16.912491760052735,0,57.86623568,29.943237055853483,38.0,742.5,2.7,22.1781303,2181.09419126208,20.665959300000004,14.609124292573023
Aldridge-Brownhills,24.205612045365665,0,67.89008945,27.151638012813017,44.0,723.2,3.1,6.3352523,1764.1088300760105,14.6361148,17.836618665373347
Alloa and Grangemouth,9.23278561199971,1,44.05887449,24.713435960276737,44.0,767.4,3.0,5.3752968,515.4356859690924,3.100591799999997,21.14260639908052
Altrincham and Sale West,9.641996423851356,0,38.37696601,48.6556906578053,42.0,953.3,2.0,14.5894052,2005.182086339269,19.438614200000004,10.735791230291172
Alyn and Deeside,22.12619837758112,0,60.25197429,27.437782940908768,43.0,763.3,2.9000000000000004,7.8039105,499.919166286458,2.735257400000002,17.093606753456097
Amber Valley,28.666149396910487,0,65.27087243,24.324396389670294,44.0,730.4,3.0,3.5630601,746.9447463284437,2.3160357000000964,20.779518047229985
Angus and Perthshire Glens,6.855622201571344,1,45.21296084,30.588990336877288,50.0,723.1,2.8000000000000003,6.5904902000000005,18.028088887431817,2.050955700000001,15.284064089846565
Arbroath and Broughty Ferry,8.613459664075073,1,36.63648697,29.5242712562875,46.0,699.9,3.1,6.2560619,240.8818310248365,3.2314018,19.9409110282809
"Argyll, Bute and South Lochaber",6.7874816102715,1,39.53574555,34.10441725824465,51.0,724.1,2.7,6.482336,10.079301377112987,2.2808056999999997,17.093477832585283
